Price,Close,High,Low,Open,Volume
Ticker,XLY,XLY,XLY,XLY,XLY
Date,,,,,
2000-04-03,22.595895767211914,22.713033640551533,22.232768359859104,22.232768359859104,41000
2000-04-04,22.314767837524414,23.052736537663016,21.436233670692744,22.970740015425395,71000
2000-04-05,22.349916458129883,22.443626799673403,22.11564060427108,22.19763715312166,12000
2000-04-06,22.58417320251465,22.736452378672684,22.23275971907303,22.23275971907303,13600
2000-04-07,22.58417320251465,22.865303989267943,22.58417320251465,22.724738595891296,55700
2000-04-10,23.111303329467773,23.134730905067844,22.677893180866505,22.74817590766671,15800
2000-04-11,23.27529525756836,23.298722832060122,22.877026491208355,22.877026491208355,46100
2000-04-12,23.228429794311523,23.942970499028117,23.228429794311523,23.46270543520221,107000
2000-04-13,22.795032501220703,23.1933013116223,22.771604924138256,23.1933013116223,37400
2000-04-14,20.991098403930664,22.068766402346746,20.991098403930664,22.02191127198083,117600
2000-04-17,21.0145320892334,21.272235381297573,20.522553077110878,21.272235381297573,140600
2000-04-18,21.45965576171875,21.529938477095556,20.78025617974294,20.897394038704284,52100
2000-04-19,21.623653411865234,21.717363719175594,21.29566733627898,21.29566733627898,8400
2000-04-20,21.904769897460938,21.904769897460938,21.60021159942137,21.60021159942137,14300
2000-04-24,22.139057159423828,22.53732591255632,21.904781422287066,21.904781422287066,12300
2000-04-25,22.53732681274414,22.584181962042983,22.279623491600496,22.279623491600496,25600
2000-04-26,22.513896942138672,22.60760723117983,22.443614225357802,22.443614225357802,11900
2000-04-27,22.045347213745117,22.045347213745117,21.78764389881292,21.97506449149088,3300
2000-04-28,21.483083724975586,22.021917886016414,21.483083724975586,21.881352452701414,4300
2000-05-01,22.139057159423828,22.139057159423828,21.576795390295604,21.576795390295604,6700
2000-05-02,21.986774444580078,22.068770939578513,21.811067669583434,21.811067669583434,65300
2000-05-03,20.944257736206055,21.295671456612197,20.82711982940401,21.10825080572892,167300
2000-05-04,20.604555130004883,20.85054470233581,20.49913102757734,20.85054470233581,22800
2000-05-05,20.86225700378418,20.897398368754057,20.63969502564162,20.63969502564162,15100
2000-05-08,20.80368423461914,20.873966951627988,20.522553366583747,20.663118800601442,54600
2000-05-09,21.0145320892334,21.272235381297573,21.0145320892334,21.13166994926257,17900
2000-05-10,21.0145320892334,21.061387233245068,20.827111513186722,20.92082180121006,63000
2000-05-11,21.201948165893555,21.36594113513251,21.201948165893555,21.319086001064235,18100
2000-05-12,21.50650978088379,21.50650978088379,21.319089216344498,21.436227069181555,3000
2000-05-15,21.576784133911133,21.717349502861694,21.22537071153473,21.31908095750177,26700
2000-05-16,21.740785598754883,21.92820616426139,21.553365033248372,21.92820616426139,7700
2000-05-17,21.22537612915039,21.354227750243467,21.178520994207453,21.319086399036266,9500
2000-05-18,21.64706802368164,21.64706802368164,21.225371893350182,21.225371893350182,1600
2000-05-19,21.096525192260742,21.459652499845465,21.084811408145107,21.22537681753274,1900
2000-05-22,20.780258178710938,20.920823622986322,20.639692734435556,20.920823622986322,8500
2000-05-23,20.686542510986328,21.03795603042551,20.686542510986328,20.756825214874166,20000
2000-05-24,20.311704635620117,20.49912520895917,19.96029106060939,20.49912520895917,3900
2000-05-25,20.124284744262695,20.452270758720992,20.124284744262695,20.38198804133707,21000
2000-05-26,19.702592849731445,20.089147881860537,19.702592849731445,20.089147881860537,40300
2000-05-30,19.8548641204834,19.866577904625277,19.59716086936208,19.72601249492274,92000
2000-05-31,20.323415756225586,20.335129540523123,19.86657816862167,19.86657816862167,28000
2000-06-01,20.47569465637207,20.47569465637207,20.241418973804883,20.241418973804883,1500
2000-06-02,21.037960052490234,21.037960052490234,20.803684328074976,20.8271119005165,23700
2000-06-05,20.92081642150879,21.08480938337952,20.803678591601123,20.803678591601123,1200
2000-06-06,20.253129959106445,20.733395042000236,20.19456104655842,20.733395042000236,5600
2000-06-07,20.253129959106445,20.52254695682735,20.17113348153921,20.19456104655842,21100
2000-06-08,20.054014205932617,20.276576279479766,19.93687627248675,20.276576279479766,15800
2000-06-09,19.726015090942383,20.241421661014513,19.702587519575467,20.100856232813022,67700
2000-06-12,19.234039306640625,19.37460475833349,19.187184156076334,19.280894457204912,12400
2000-06-13,19.608877182006836,19.819725323748845,19.187180898522815,19.187180898522815,115400
2000-06-14,19.679161071777344,19.91343679882231,19.63230592636835,19.63230592636835,44600
2000-06-15,19.632305145263672,19.84315329121519,19.632305145263672,19.79629814767041,135800
2000-06-16,19.411663055419922,19.55249737021136,19.3412458980242,19.55249737021136,18600
2000-06-19,19.388195037841797,19.435139820015745,19.15347112697204,19.223888300232968,22300
2000-06-20,18.96568489074707,19.29429824281447,18.918740126166014,19.29429824281447,14100
2000-06-21,18.836584091186523,18.977418364765487,18.789639333326868,18.977418364765487,162300
